date	ouv	haut	bas	clot	vol	devise	
26/03/2013 00:00	0.213	0.213	0.213	0.213	0		
27/03/2013 00:00	0.212	0.212	0.212	0.212	0		
28/03/2013 00:00	0.211	0.211	0.211	0.211	0		
02/04/2013 00:00	0.21	0.21	0.21	0.21	0		
03/04/2013 00:00	0.21	0.21	0.21	0.21	0		
04/04/2013 00:00	0.21	0.21	0.21	0.21	0		
05/04/2013 00:00	0.21	0.21	0.21	0.21	0		
08/04/2013 00:00	0.21	0.21	0.21	0.21	0		
09/04/2013 00:00	0.211	0.211	0.211	0.211	0		
10/04/2013 00:00	0.211	0.211	0.211	0.211	0		
11/04/2013 00:00	0.211	0.211	0.211	0.211	0		
12/04/2013 00:00	0.21	0.21	0.21	0.21	0		
15/04/2013 00:00	0.21	0.21	0.21	0.21	0		
16/04/2013 00:00	0.21	0.21	0.21	0.21	0		
17/04/2013 00:00	0.21	0.21	0.21	0.21	0		
18/04/2013 00:00	0.208	0.208	0.208	0.208	0		
19/04/2013 00:00	0.208	0.208	0.208	0.208	0		
22/04/2013 00:00	0.208	0.208	0.208	0.208	0		
23/04/2013 00:00	0.207	0.207	0.207	0.207	0		
24/04/2013 00:00	0.206	0.206	0.206	0.206	0		
25/04/2013 00:00	0.206	0.206	0.206	0.206	0		
26/04/2013 00:00	0.207	0.207	0.207	0.207	0		
29/04/2013 00:00	0.207	0.207	0.207	0.207	0		
30/04/2013 00:00	0.207	0.207	0.207	0.207	0		
02/05/2013 00:00	0.207	0.207	0.207	0.207	0		
03/05/2013 00:00	0.201	0.201	0.201	0.201	0		
06/05/2013 00:00	0.202	0.202	0.202	0.202	0		
07/05/2013 00:00	0.202	0.202	0.202	0.202	0		
08/05/2013 00:00	0.203	0.203	0.203	0.203	0		
09/05/2013 00:00	0.203	0.203	0.203	0.203	0		
10/05/2013 00:00	0.203	0.203	0.203	0.203	0		
13/05/2013 00:00	0.203	0.203	0.203	0.203	0		
14/05/2013 00:00	0.203	0.203	0.203	0.203	0		
15/05/2013 00:00	0.203	0.203	0.203	0.203	0		
16/05/2013 00:00	0.202	0.202	0.202	0.202	0		
17/05/2013 00:00	0.2	0.2	0.2	0.2	0		
20/05/2013 00:00	0.199	0.199	0.199	0.199	0		
21/05/2013 00:00	0.198	0.198	0.198	0.198	0		
22/05/2013 00:00	0.199	0.199	0.199	0.199	0		
23/05/2013 00:00	0.199	0.199	0.199	0.199	0		
