DATE,NFCI
1971-01-08,0.66082
1971-01-15,0.69672
1971-01-22,0.73872
1971-01-29,0.78410
1971-02-05,0.83031
1971-02-12,0.87387
1971-02-19,0.91272
1971-02-26,0.94708
1971-03-05,0.97952
1971-03-12,1.01293
1971-03-19,1.05084
1971-03-26,1.09752
1971-04-02,1.15502
1971-04-09,1.22378
1971-04-16,1.30053
1971-04-23,1.37854
1971-04-30,1.44865
1971-05-07,1.49985
1971-05-14,1.51970
1971-05-21,1.50098
1971-05-28,1.44244
1971-06-04,1.34874
1971-06-11,1.22885
1971-06-18,1.10131
1971-06-25,0.98591
1971-07-02,0.90298
1971-07-09,0.87209
1971-07-16,0.90718
1971-07-23,1.01368
1971-07-30,1.18644
1971-08-06,1.40808
1971-08-13,1.65247
1971-08-20,1.89075
1971-08-27,2.09181
1971-09-03,2.23604
1971-09-10,2.30891
1971-09-17,2.31078
1971-09-24,2.24739
1971-10-01,2.13376
1971-10-08,1.98728
1971-10-15,1.82924
1971-10-22,1.67895
1971-10-29,1.55209
1971-11-05,1.45859
1971-11-12,1.40081
1971-11-19,1.37587
1971-11-26,1.37429
1971-12-03,1.38543
1971-12-10,1.39770
1971-12-17,1.39922
1971-12-24,1.38059
1971-12-31,1.33887
1972-01-07,1.26647
1972-01-14,1.17398
1972-01-21,1.06527
1972-01-28,0.95027
1972-02-04,0.83866
1972-02-11,0.73659
1972-02-18,0.64783
1972-02-25,0.57427
1972-03-03,0.51605
1972-03-10,0.47182
1972-03-17,0.43816
1972-03-24,0.41076
1972-03-31,0.38381
1972-04-07,0.35216
1972-04-14,0.31425
1972-04-21,0.26816
1972-04-28,0.21760
1972-05-05,0.16630
1972-05-12,0.11954
1972-05-19,0.08304
1972-05-26,0.06227
1972-06-02,0.06040
1972-06-09,0.07888
1972-06-16,0.11543
1972-06-23,0.16491
1972-06-30,0.21917
1972-07-07,0.26896
1972-07-14,0.30640
1972-07-21,0.32481
1972-07-28,0.32011
1972-08-04,0.29146
1972-08-11,0.24091
1972-08-18,0.17353
1972-08-25,0.09596
1972-09-01,0.01687
1972-09-08,-0.05458
1972-09-15,-0.11212
1972-09-22,-0.15248
1972-09-29,-0.17587
1972-10-06,-0.18604
1972-10-13,-0.18896
1972-10-20,-0.18991
1972-10-27,-0.19366
1972-11-03,-0.20321
1972-11-10,-0.21950
1972-11-17,-0.24247
1972-11-24,-0.27041
1972-12-01,-0.29898
1972-12-08,-0.32307
1972-12-15,-0.33666
1972-12-22,-0.33225
1972-12-29,-0.30328
1973-01-05,-0.24528
1973-01-12,-0.15543
1973-01-19,-0.03437
1973-01-26,0.11422
1973-02-02,0.28336
1973-02-09,0.46233
1973-02-16,0.63831
1973-02-23,0.79954
1973-03-02,0.93517
1973-03-09,1.03888
1973-03-16,1.10824
1973-03-23,1.14690
1973-03-30,1.16010
1973-04-06,1.15349
1973-04-13,1.13455
1973-04-20,1.10818
1973-04-27,1.07860
1973-05-04,1.04790
1973-05-11,1.01864
1973-05-18,0.99203
1973-05-25,0.97043
1973-06-01,0.95716
1973-06-08,0.95636
1973-06-15,0.97205
1973-06-22,1.00800
1973-06-29,1.06667
1973-07-06,1.14732
1973-07-13,1.24833
1973-07-20,1.36433
1973-07-27,1.49056
1973-08-03,1.62004
1973-08-10,1.74693
1973-08-17,1.86521
1973-08-24,1.97059
1973-08-31,2.05790
1973-09-07,2.12296
1973-09-14,2.16347
1973-09-21,2.17882
1973-09-28,2.16957
1973-10-05,2.13684
1973-10-12,2.08802
1973-10-19,2.02965
1973-10-26,1.97297
1973-11-02,1.92673
1973-11-09,1.89795
1973-11-16,1.88807
1973-11-23,1.89037
1973-11-30,1.89206
1973-12-07,1.87703
1973-12-14,1.83168
1973-12-21,1.74665
1973-12-28,1.62024
1974-01-04,1.45603
1974-01-11,1.26712
1974-01-18,1.06547
1974-01-25,0.86418
1974-02-01,0.67613
1974-02-08,0.51241
1974-02-15,0.38315
1974-02-22,0.29738
1974-03-01,0.26119
1974-03-08,0.27894
1974-03-15,0.35107
1974-03-22,0.47476
1974-03-29,0.64549
1974-04-05,0.85865
1974-04-12,1.11097
1974-04-19,1.39712
1974-04-26,1.71242
