Date,Close
01/11/2024,"3,369"
01/10/2024,"3,250"
01/09/2024,"3,320"
01/08/2024,"3,760"
01/07/2024,"4,090"
01/06/2024,"4,430"
01/05/2024,"4,600"
01/04/2024,"4,780"
01/03/2024,"4,710"
01/02/2024,"4,760"
01/01/2024,"4,760"
01/12/2023,"4,670"
01/11/2023,"4,820"
01/10/2023,"5,100"
01/09/2023,"5,300"
01/08/2023,"5,220"
01/07/2023,"5,260"
01/06/2023,"5,150"
01/05/2023,"4,820"
01/04/2023,"4,450"
01/03/2023,"4,410"
01/02/2023,"4,720"
01/01/2023,"4,530"
01/12/2022,"4,600"
01/11/2022,"4,410"
01/10/2022,"4,300"
01/09/2022,"4,020"
01/08/2022,"3,780"
01/07/2022,"3,190"
01/06/2022,"3,110"
01/05/2022,"2,520"
01/04/2022,"2,490"
01/03/2022,"1,960"
01/02/2022,"1,240"
01/01/2022,"0,990"
01/12/2021,"0,780"
01/11/2021,"0,700"
01/10/2021,"0,730"
01/09/2021,"0,280"
01/08/2021,"0,260"
01/07/2021,"0,300"
01/06/2021,"0,235"
01/05/2021,"0,180"
01/04/2021,"0,195"
01/03/2021,"0,170"
01/02/2021,"0,170"
01/01/2021,"0,120"
01/12/2020,"0,160"
01/11/2020,"0,200"
01/10/2020,"0,195"
01/09/2020,"0,220"
01/08/2020,"0,225"
01/07/2020,"0,230"
01/06/2020,"0,280"
01/05/2020,"0,280"
01/04/2020,"0,340"
01/03/2020,"0,380"
01/02/2020,"1,350"
01/01/2020,"1,600"
01/12/2019,"1,740"
01/11/2019,"1,700"
01/10/2019,"1,680"
01/09/2019,"1,720"
01/08/2019,"1,540"
01/07/2019,"1,700"
01/06/2019,"1,690"
01/05/2019,"1,650"
01/04/2019,"1,710"
01/03/2019,"1,680"
01/02/2019,"1,790"
01/01/2019,"1,815"
01/12/2018,"1,875"
01/11/2018,"2,085"
01/10/2018,"2,160"
01/09/2018,"2,040"
01/08/2018,"1,940"
01/07/2018,"1,880"
01/06/2018,"1,700"
01/05/2018,"1,705"
01/04/2018,"1,630"
01/03/2018,"1,600"
01/02/2018,"1,600"
01/01/2018,"1,610"
01/12/2017,"1,525"
01/11/2017,"1,310"
01/10/2017,"1,375"
01/09/2017,"1,420"
01/08/2017,"1,170"
01/07/2017,"1,160"
01/06/2017,"0,970"
01/05/2017,"0,650"
01/04/2017,"0,640"
01/03/2017,"0,645"
01/02/2017,"0,595"
01/01/2017,"0,595"
01/12/2016,"0,630"
01/11/2016,"0,590"
01/10/2016,"0,555"
01/09/2016,"0,535"
01/08/2016,"0,560"
01/07/2016,"0,565"
01/06/2016,"0,515"
01/05/2016,"0,605"
01/04/2016,"0,610"
01/03/2016,"0,540"
01/02/2016,"0,495"
01/01/2016,"0,445"
01/12/2015,"0,495"
01/11/2015,"0,550"
01/10/2015,"0,510"
01/09/2015,"0,490"
01/08/2015,"0,410"
01/07/2015,"0,410"
01/06/2015,"0,590"
01/05/2015,"0,670"
01/04/2015,"0,705"
01/03/2015,"0,580"
01/02/2015,"0,560"
01/01/2015,"0,490"
01/12/2014,"0,990"
01/11/2014,"0,975"
01/10/2014,"0,980"
01/09/2014,"1,000"
01/08/2014,"1,015"
01/07/2014,"1,030"
01/06/2014,"1,010"
01/05/2014,"0,985"
01/04/2014,"0,995"
01/03/2014,"0,960"
01/02/2014,"0,945"
01/01/2014,"0,940"
01/12/2013,"0,985"
01/11/2013,"0,995"
01/10/2013,"1,000"
01/09/2013,"1,045"
01/08/2013,"1,095"
01/07/2013,"1,130"
01/06/2013,"1,135"
01/05/2013,"1,075"
01/04/2013,"1,020"
01/03/2013,"1,030"
01/02/2013,"1,000"
01/01/2013,"1,060"
01/12/2012,"1,090"
01/11/2012,"1,070"
01/10/2012,"1,060"
01/09/2012,"1,070"
01/08/2012,"1,140"
01/07/2012,"1,060"
01/06/2012,"0,990"
01/05/2012,"1,030"
01/04/2012,"1,280"
01/03/2012,"1,090"
01/02/2012,"1,050"
01/01/2012,"0,980"
01/12/2011,"0,940"
01/11/2011,"0,920"
01/10/2011,"0,950"
01/09/2011,"0,840"
01/08/2011,"0,980"
01/07/2011,"1,220"
01/06/2011,"1,250"
01/05/2011,"1,250"
01/04/2011,"1,380"
01/03/2011,"1,370"
01/02/2011,"1,410"
01/01/2011,"1,300"
01/12/2010,"1,400"
01/11/2010,"1,370"
01/10/2010,"1,190"
