Date,Close
01/11/2024,"0,500"
01/10/2024,"0,610"
01/09/2024,"0,760"
01/08/2024,"0,870"
01/07/2024,"0,970"
01/06/2024,"1,110"
01/05/2024,"1,300"
01/04/2024,"1,240"
01/03/2024,"1,270"
01/02/2024,"1,430"
01/01/2024,"1,500"
01/12/2023,"1,610"
01/11/2023,"1,690"
01/10/2023,"1,670"
01/09/2023,"1,900"
01/08/2023,"1,950"
01/07/2023,"1,940"
01/06/2023,"1,920"
01/05/2023,"1,770"
01/04/2023,"1,880"
01/03/2023,"1,840"
01/02/2023,"1,690"
01/01/2023,"1,420"
01/12/2022,"1,560"
01/11/2022,"1,100"
01/10/2022,"0,910"
01/09/2022,"1,400"
01/08/2022,"0,940"
01/07/2022,"0,570"
01/06/2022,"0,430"
01/05/2022,"-0,110"
01/04/2022,"-0,400"
01/03/2022,"-0,570"
01/02/2022,"-0,690"
01/01/2022,"-0,710"
01/12/2021,"-0,760"
01/11/2021,"-0,740"
01/10/2021,"-0,700"
01/09/2021,"-0,690"
01/08/2021,"-0,800"
01/07/2021,"-0,760"
01/06/2021,"-0,800"
01/05/2021,"-0,730"
01/04/2021,"-0,760"
01/03/2021,"-0,810"
01/02/2021,"-0,700"
01/01/2021,"-0,800"
01/12/2020,"-0,760"
01/11/2020,"-0,800"
01/10/2020,"-0,810"
01/09/2020,"-0,820"
01/08/2020,"-0,760"
01/07/2020,"-0,520"
01/06/2020,"-0,590"
01/05/2020,"-0,440"
01/04/2020,"-0,340"
01/03/2020,"-0,760"
01/02/2020,"-0,770"
01/01/2020,"-0,640"
01/12/2019,"-0,610"
01/11/2019,"-0,730"
01/10/2019,"-0,700"
01/09/2019,"-0,750"
01/08/2019,"-1,050"
01/07/2019,"-0,830"
01/06/2019,"-0,690"
01/05/2019,"-0,640"
01/04/2019,"-0,600"
01/03/2019,"-0,600"
01/02/2019,"-0,710"
01/01/2019,"-0,590"
01/12/2018,"-0,650"
01/11/2018,"-0,640"
01/10/2018,"-0,650"
01/09/2018,"-0,690"
01/08/2018,"-0,700"
01/07/2018,"-0,690"
01/06/2018,"-0,690"
01/05/2018,"-0,760"
01/04/2018,"-0,650"
01/03/2018,"-0,690"
01/02/2018,"-0,770"
01/01/2018,"-0,750"
01/12/2017,"-0,750"
01/11/2017,"-0,770"
01/10/2017,"-0,750"
01/09/2017,"-0,740"
01/08/2017,"-0,750"
01/07/2017,"-0,910"
01/06/2017,"-0,770"
01/05/2017,"-0,710"
01/04/2017,"-0,740"
01/03/2017,"-0,750"
01/02/2017,"-0,760"
01/01/2017,"-0,710"
01/12/2016,"-0,970"
01/11/2016,"-0,930"
01/10/2016,"-0,650"
01/09/2016,"-0,670"
01/08/2016,"-0,660"
01/07/2016,"-0,660"
01/06/2016,"-0,870"
01/05/2016,"-0,640"
01/04/2016,"-0,630"
01/03/2016,"-0,610"
01/02/2016,"-0,830"
01/01/2016,"-0,670"
01/12/2015,"-0,650"
01/11/2015,"-0,960"
01/10/2015,"-0,800"
01/09/2015,"-0,690"
01/08/2015,"-0,740"
01/07/2015,"-0,800"
01/06/2015,"-0,960"
01/05/2015,"-0,930"
01/04/2015,"-0,820"
01/03/2015,"-0,900"
01/02/2015,"-0,950"
01/01/2015,"-0,810"
01/12/2014,"-0,230"
01/11/2014,"0,050"
01/10/2014,"0,080"
01/09/2014,"0,060"
01/08/2014,"0,050"
01/07/2014,"0,140"
01/06/2014,"0,140"
01/05/2014,"0,010"
01/04/2014,"0,070"
01/03/2014,"0,040"
01/02/2014,"0,070"
01/01/2014,"0,040"
01/12/2013,"0,080"
01/11/2013,"0,030"
01/10/2013,"0,080"
01/09/2013,"0,080"
01/08/2013,"0,070"
01/07/2013,"0,080"
01/06/2013,"0,060"
01/05/2013,"0,100"
01/04/2013,"0,120"
01/03/2013,"0,040"
01/02/2013,"0,140"
01/01/2013,"0,100"
01/12/2012,"0,050"
01/11/2012,"0,150"
01/10/2012,"0,250"
01/09/2012,"0,250"
01/08/2012,"0,220"
01/07/2012,"0,200"
01/06/2012,"0,250"
01/05/2012,"0,200"
01/04/2012,"0,150"
01/03/2012,"0,250"
01/02/2012,"0,150"
01/01/2012,"0,250"
01/12/2011,"1,240"
01/11/2011,"0,310"
01/10/2011,"0,670"
01/09/2011,"0,700"
01/08/2011,"0,500"
01/07/2011,"0,710"
01/06/2011,"0,590"
01/05/2011,"0,680"
01/04/2011,"0,700"
01/03/2011,"0,640"
01/02/2011,"0,590"
01/01/2011,"0,480"
01/12/2010,"0,520"
01/11/2010,"0,550"
01/10/2010,"0,520"
01/09/2010,"0,620"
01/08/2010,"0,730"
01/07/2010,"0,700"
01/06/2010,"0,610"
01/05/2010,"0,340"
01/04/2010,"0,280"
01/03/2010,"0,590"
01/02/2010,"0,550"
01/01/2010,"0,610"
01/12/2009,"0,540"
01/11/2009,"0,520"
01/10/2009,"0,580"
01/09/2009,"0,610"
01/08/2009,"0,590"
01/07/2009,"0,580"
01/06/2009,"0,630"
01/05/2009,"0,650"
01/04/2009,"0,750"
01/03/2009,"0,820"
01/02/2009,"1,030"
01/01/2009,"1,180"
01/12/2008,"0,980"
