date -> 2022-06-20 00:00:00 weakest-> ['JPYUSD', 'NOKUSD'] strongest-> ['BRLUSD', 'SGDUSD']
date -> 2022-06-21 00:00:00 weakest-> ['NOKUSD', 'JPYUSD'] strongest-> ['BRLUSD', 'SGDUSD']
date -> 2022-06-22 00:00:00 weakest-> ['NOKUSD', 'JPYUSD'] strongest-> ['SGDUSD', 'BRLUSD']
date -> 2022-06-23 00:00:00 weakest-> ['NOKUSD', 'JPYUSD'] strongest-> ['BRLUSD', 'SGDUSD']
date -> 2022-06-24 00:00:00 weakest-> ['NOKUSD', 'JPYUSD'] strongest-> ['SGDUSD', 'CADUSD']
date -> 2022-06-27 00:00:00 weakest-> ['NOKUSD', 'JPYUSD'] strongest-> ['SGDUSD', 'CADUSD']
date -> 2022-06-28 00:00:00 weakest-> ['NOKUSD', 'JPYUSD'] strongest-> ['SGDUSD', 'CHFUSD']
date -> 2022-06-29 00:00:00 weakest-> ['NOKUSD', 'JPYUSD'] strongest-> ['SGDUSD', 'CHFUSD']
date -> 2022-06-30 00:00:00 weakest-> ['NOKUSD', 'JPYUSD'] strongest-> ['SGDUSD', 'CHFUSD']
date -> 2022-07-01 00:00:00 weakest-> ['NOKUSD', 'JPYUSD'] strongest-> ['CHFUSD', 'SGDUSD']
date -> 2022-07-04 00:00:00 weakest-> ['NOKUSD', 'JPYUSD'] strongest-> ['CHFUSD', 'SGDUSD']
date -> 2022-07-05 00:00:00 weakest-> ['SEKUSD', 'NOKUSD'] strongest-> ['CHFUSD', 'SGDUSD']
date -> 2022-07-06 00:00:00 weakest-> ['SEKUSD', 'JPYUSD'] strongest-> ['CHFUSD', 'CADUSD']
date -> 2022-07-07 00:00:00 weakest-> ['SEKUSD', 'NOKUSD'] strongest-> ['CHFUSD', 'SGDUSD']
date -> 2022-07-08 00:00:00 weakest-> ['SEKUSD', 'NOKUSD'] strongest-> ['CHFUSD', 'SGDUSD']
date -> 2022-07-11 00:00:00 weakest-> ['SEKUSD', 'NOKUSD'] strongest-> ['CADUSD', 'SGDUSD']
date -> 2022-07-12 00:00:00 weakest-> ['SEKUSD', 'JPYUSD'] strongest-> ['CADUSD', 'SGDUSD']
date -> 2022-07-13 00:00:00 weakest-> ['SEKUSD', 'NOKUSD'] strongest-> ['CADUSD', 'SGDUSD']
date -> 2022-07-14 00:00:00 weakest-> ['SEKUSD', 'NOKUSD'] strongest-> ['CHFUSD', 'CADUSD']
date -> 2022-07-15 00:00:00 weakest-> ['JPYUSD', 'NOKUSD'] strongest-> ['CADUSD', 'SGDUSD']
