Date,Interest Rate
02/12/2013,0.143
01/01/2014,0.086
03/02/2014,0.134
03/03/2014,0.163
01/04/2014,0.142
01/05/2014,0.09
02/06/2014,0.027
01/07/2014,0.044
01/08/2014,-0.011
01/09/2014,-0.051
01/10/2014,-0.058
03/11/2014,-0.031
01/12/2014,-0.079
01/01/2015,-0.143
02/02/2015,-0.186
02/03/2015,-0.227
01/04/2015,-0.248
01/05/2015,-0.248
01/06/2015,-0.204
01/07/2015,-0.244
03/08/2015,-0.222
01/09/2015,-0.243
01/10/2015,-0.299
02/11/2015,-0.364
01/12/2015,-0.374
01/01/2016,-0.449
01/02/2016,-0.501
01/03/2016,-0.455
01/04/2016,-0.528
02/05/2016,-0.539
01/06/2016,-0.613
01/07/2016,-0.623
01/08/2016,-0.594
01/09/2016,-0.695
03/10/2016,-0.701
01/11/2016,-0.791
01/12/2016,-0.845
02/01/2017,-0.689
01/02/2017,-0.883
01/03/2017,-0.714
03/04/2017,-0.708
01/05/2017,-0.742
01/06/2017,-0.673
03/07/2017,-0.658
01/08/2017,-0.752
01/09/2017,-0.732
02/10/2017,-0.745
01/11/2017,-0.72
01/12/2017,-0.714
01/01/2018,-0.604
01/02/2018,-0.63
01/03/2018,-0.658
02/04/2018,-0.615
01/05/2018,-0.652
01/06/2018,-0.653
02/07/2018,-0.639
01/08/2018,-0.625
03/09/2018,-0.597
01/10/2018,-0.669
01/11/2018,-0.653
03/12/2018,-0.604
01/01/2019,-0.523
01/02/2019,-0.544
01/03/2019,-0.561
01/04/2019,-0.549
01/05/2019,-0.592
03/06/2019,-0.666
01/07/2019,-0.703
01/08/2019,-0.851
02/09/2019,-0.689
01/10/2019,-0.63
01/11/2019,-0.615
02/12/2019,-0.635
01/01/2020,-0.607
03/02/2020,-0.725
02/03/2020,-0.654
01/04/2020,-0.547
01/05/2020,-0.578
01/06/2020,-0.547
01/07/2020,-0.574
03/08/2020,-0.553
01/09/2020,-0.587
01/10/2020,-0.717
02/11/2020,-0.686
01/12/2020,-0.726
01/01/2021,-0.64
01/02/2021,-0.614
01/03/2021,-0.65
01/04/2021,-0.649
03/05/2021,-0.64
01/06/2021,-0.605
01/07/2021,-0.645
02/08/2021,-0.673
01/09/2021,-0.674
01/10/2021,-0.682
01/11/2021,-0.77
01/12/2021,-0.61
03/01/2022,-0.668
01/02/2022,-0.64
01/03/2022,-0.435
01/04/2022,-0.22
02/05/2022,0.045
01/06/2022,0.421
01/07/2022,0.377
01/08/2022,0.716
01/09/2022,1.679
03/10/2022,2.046
01/11/2022,2.228
01/12/2022,2.585
02/01/2023,2.761
01/02/2023,3.186
01/03/2023,3.003
03/04/2023,3.12
01/05/2023,3.187
01/06/2023,3.6
03/07/2023,3.635
01/08/2023,3.534
01/09/2023,3.702
02/10/2023,3.674
01/11/2023,3.486
01/12/2023,3.194
01/01/2024,3.157
01/02/2024,3.492
01/03/2024,3.452
01/04/2024,3.446
01/05/2024,3.467
03/06/2024,3.256
01/07/2024,3.01
01/08/2024,2.83
02/09/2024,2.54
01/10/2024,2.458
01/11/2024,2.322
