Date,Interest Rate
03/07/2006,0.61500001
01/08/2006,0.44299999
01/09/2006,0.44
02/10/2006,0.57499999
01/11/2006,0.62
01/12/2006,0.639
01/01/2007,0.52999997
01/02/2007,0.64499998
01/03/2007,0.67400002
02/04/2007,0.71399999
01/05/2007,0.79400003
01/06/2007,0.81199998
02/07/2007,0.787
01/08/2007,0.71200001
03/09/2007,0.76599997
01/10/2007,0.68099999
01/11/2007,0.65100002
03/12/2007,0.653
01/01/2008,0.523
01/02/2008,0.54000002
03/03/2008,0.565
01/04/2008,0.69499999
01/05/2008,0.73000002
02/06/2008,0.72000003
01/07/2008,0.67500001
01/08/2008,0.625
01/09/2008,0.66000003
01/10/2008,0.55000001
03/11/2008,0.57499999
01/12/2008,0.345
01/01/2009,0.35499999
02/02/2009,0.36500001
02/03/2009,0.33000001
01/04/2009,0.28
01/05/2009,0.2
01/06/2009,0.215
01/07/2009,0.215
03/08/2009,0.18000001
01/09/2009,0.18000001
01/10/2009,0.19499999
02/11/2009,0.18099999
01/12/2009,0.134
01/01/2010,0.123
01/02/2010,0.123
01/03/2010,0.134
01/04/2010,0.139
03/05/2010,0.13500001
01/06/2010,0.145
01/07/2010,0.13500001
02/08/2010,0.123
01/09/2010,0.125
01/10/2010,0.125
01/11/2010,0.15800001
01/12/2010,0.155
03/01/2011,0.155
01/02/2011,0.185
01/03/2011,0.16
01/04/2011,0.16500001
02/05/2011,0.155
01/06/2011,0.133
01/07/2011,0.12899999
01/08/2011,0.114
01/09/2011,0.119
03/10/2011,0.125
01/11/2011,0.12
01/12/2011,0.12899999
02/01/2012,0.125
01/02/2012,0.111
01/03/2012,0.11
02/04/2012,0.105
01/05/2012,0.105
01/06/2012,0.104
02/07/2012,0.1
01/08/2012,0.099
03/09/2012,0.098
01/10/2012,0.1
01/11/2012,0.1
03/12/2012,0.098
01/01/2013,0.081
01/02/2013,0.053
01/03/2013,0.041
01/04/2013,0.118
01/05/2013,0.114
03/06/2013,0.111
01/07/2013,0.104
01/08/2013,0.104
02/09/2013,0.094
01/10/2013,0.09
01/11/2013,0.089
02/12/2013,0.084
01/01/2014,0.084
03/02/2014,0.062
03/03/2014,0.078
01/04/2014,0.083
01/05/2014,0.084
02/06/2014,0.072
01/07/2014,0.056
01/08/2014,0.058
01/09/2014,0.065
01/10/2014,0.016
03/11/2014,0.008
01/12/2014,-0.025
01/01/2015,0.01
02/02/2015,0.015
02/03/2015,0.028
01/04/2015,0.003
01/05/2015,-0.003
01/06/2015,0.004
01/07/2015,0.006
03/08/2015,0.006
01/09/2015,0.011
01/10/2015,0.007
02/11/2015,-0.008
01/12/2015,-0.057
01/01/2016,-0.061
01/02/2016,-0.17200001
01/03/2016,-0.189
01/04/2016,-0.2179
02/05/2016,-0.2617
01/06/2016,-0.3272
01/07/2016,-0.2904
01/08/2016,-0.2293
01/09/2016,-0.316
03/10/2016,-0.3024
01/11/2016,-0.2686
01/12/2016,-0.29
02/01/2017,-0.2896
01/02/2017,-0.2561
01/03/2017,-0.2568
03/04/2017,-0.2069
01/05/2017,-0.1659
01/06/2017,-0.1198
03/07/2017,-0.1157
01/08/2017,-0.1437
01/09/2017,-0.1403
02/10/2017,-0.1668
01/11/2017,-0.1671
01/12/2017,-0.1519
01/01/2018,-0.1312
01/02/2018,-0.1627
01/03/2018,-0.1304
02/04/2018,-0.1445
01/05/2018,-0.1398
01/06/2018,-0.1291
02/07/2018,-0.1186
01/08/2018,-0.1188
03/09/2018,-0.1258
01/10/2018,-0.1435
01/11/2018,-0.1462
03/12/2018,-0.1518
01/01/2019,-0.182
01/02/2019,-0.16
01/03/2019,-0.17399999
01/04/2019,-0.152
01/05/2019,-0.163
03/06/2019,-0.205
01/07/2019,-0.18099999
01/08/2019,-0.26300001
02/09/2019,-0.29899999
01/10/2019,-0.21799999
01/11/2019,-0.15899999
02/12/2019,-0.121
01/01/2020,-0.145
03/02/2020,-0.159
02/03/2020,-0.139
01/04/2020,-0.202
01/05/2020,-0.158
01/06/2020,-0.168
01/07/2020,-0.142
03/08/2020,-0.113
01/09/2020,-0.136
01/10/2020,-0.13
02/11/2020,-0.119
01/12/2020,-0.123
01/01/2021,-0.119
01/02/2021,-0.121
01/03/2021,-0.131
01/04/2021,-0.1297
03/05/2021,-0.123
01/06/2021,-0.112
01/07/2021,-0.13
02/08/2021,-0.13
01/09/2021,-0.125
01/10/2021,-0.116
01/11/2021,-0.13
01/12/2021,-0.09
03/01/2022,-0.075
01/02/2022,-0.064
01/03/2022,-0.071
01/04/2022,-0.084
02/05/2022,-0.083
01/06/2022,-0.094
01/07/2022,-0.155
01/08/2022,-0.136
01/09/2022,-0.101
03/10/2022,-0.094
01/11/2022,-0.09
01/12/2022,0.011
02/01/2023,-0.058
01/02/2023,-0.058
01/03/2023,-0.118
03/04/2023,-0.111
01/05/2023,-0.13
01/06/2023,-0.123
03/07/2023,-0.087
01/08/2023,-0.07
01/09/2023,-0.042
02/10/2023,0.001
01/11/2023,-0.03
01/12/2023,-0.022
01/01/2024,-0.028
01/02/2024,0.044
01/03/2024,0.067
01/04/2024,0.096
01/05/2024,0.238
03/06/2024,0.197
01/07/2024,0.31
01/08/2024,0.253
02/09/2024,0.292
01/10/2024,0.315
01/11/2024,0.478
