DATE,NFCI
1971-01-08,0.66086
1971-01-15,0.69683
1971-01-22,0.73895
1971-01-29,0.78450
1971-02-05,0.83089
1971-02-12,0.87459
1971-02-19,0.91352
1971-02-26,0.94787
1971-03-05,0.98019
1971-03-12,1.01344
1971-03-19,1.05118
1971-03-26,1.09775
1971-04-02,1.15523
1971-04-09,1.22405
1971-04-16,1.30097
1971-04-23,1.37922
1971-04-30,1.44963
1971-05-07,1.50118
1971-05-14,1.52137
1971-05-21,1.50289
1971-05-28,1.44443
1971-06-04,1.35056
1971-06-11,1.23029
1971-06-18,1.10222
1971-06-25,0.98627
1971-07-02,0.90290
1971-07-09,0.87176
1971-07-16,0.90682
1971-07-23,1.01349
1971-07-30,1.18657
1971-08-06,1.40864
1971-08-13,1.65354
1971-08-20,1.89234
1971-08-27,2.09385
1971-09-03,2.23842
1971-09-10,2.31144
1971-09-17,2.31320
1971-09-24,2.24950
1971-10-01,2.13537
1971-10-08,1.98832
1971-10-15,1.82975
1971-10-22,1.67908
1971-10-29,1.55206
1971-11-05,1.45860
1971-11-12,1.40103
1971-11-19,1.37639
1971-11-26,1.37514
1971-12-03,1.38659
1971-12-10,1.39909
1971-12-17,1.40077
1971-12-24,1.38222
1971-12-31,1.34047
1972-01-07,1.26794
1972-01-14,1.17524
1972-01-21,1.06631
1972-01-28,0.95111
1972-02-04,0.83933
1972-02-11,0.73716
1972-02-18,0.64837
1972-02-25,0.57484
1972-03-03,0.51671
1972-03-10,0.47263
1972-03-17,0.43913
1972-03-24,0.41188
1972-03-31,0.38500
1972-04-07,0.35334
1972-04-14,0.31533
1972-04-21,0.26910
1972-04-28,0.21837
1972-05-05,0.16691
1972-05-12,0.11999
1972-05-19,0.08336
1972-05-26,0.06250
1972-06-02,0.06057
1972-06-09,0.07907
1972-06-16,0.11570
1972-06-23,0.16534
1972-06-30,0.21980
1972-07-07,0.26979
1972-07-14,0.30739
1972-07-21,0.32589
1972-07-28,0.32118
1972-08-04,0.29244
1972-08-11,0.24174
1972-08-18,0.17418
1972-08-25,0.09644
1972-09-01,0.01721
1972-09-08,-0.05436
1972-09-15,-0.11197
1972-09-22,-0.15238
1972-09-29,-0.17577
1972-10-06,-0.18590
1972-10-13,-0.18873
1972-10-20,-0.18956
1972-10-27,-0.19317
1972-11-03,-0.20263
1972-11-10,-0.21890
1972-11-17,-0.24193
1972-11-24,-0.27000
1972-12-01,-0.29877
1972-12-08,-0.32307
1972-12-15,-0.33688
1972-12-22,-0.33265
1972-12-29,-0.30381
1973-01-05,-0.24588
1973-01-12,-0.15600
