open_time,Open,High,Low,Close,Volume,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore
1609459200000,28961.73000000,29678.00000000,28686.69000000,29406.54000000,11050.68949500,1609545599999,323397935.25339110,356953,5227.04755500,152974820.81060130,0
1609545600000,29408.99000000,33333.33000000,29023.16000000,32215.48000000,25994.09894500,1609631999999,815941675.28136448,688421,13071.91729400,409972695.65910800,0
1609632000000,32203.42000000,34786.00000000,32000.00000000,33071.12000000,24687.25786100,1609718399999,828901521.97424832,779666,12152.90291800,408130280.85594865,0
1609718400000,33071.12000000,33651.20000000,28089.05000000,32015.40000000,28654.79327400,1609804799999,902243512.58783982,844565,14171.59631500,446662113.23415966,0
1609804800000,32016.21000000,34498.00000000,29907.84000000,34048.81000000,24612.32109500,1609891199999,791841698.89596932,766364,12348.56493100,397592447.07873408,0
1609891200000,34048.80000000,37002.20000000,33387.97000000,36851.55000000,25492.32606400,1609977599999,891887505.31363134,719482,12777.84104200,447416896.49660392,0
1609977600000,36844.23000000,40404.26000000,36350.00000000,39488.00000000,25543.25348100,1610063999999,976851888.89692053,785526,12823.11051900,490476672.20705061,0
1610064000000,39487.99000000,42000.18000000,36588.03000000,40610.16000000,31055.16690000,1610150399999,1237460661.37006722,856753,15693.99308500,625825996.13789303,0
1610150400000,40603.72000000,41430.00000000,38764.34000000,40239.25000000,15159.81876100,1610236799999,611691533.52826682,515854,7526.80156000,303770246.57319666,0
1610236800000,40239.25000000,41460.00000000,35080.12000000,38162.04000000,22678.56174200,1610323199999,882386709.67486774,598035,10747.63060100,418495356.16910533,0
1610323200000,38160.00000000,38268.52000000,30330.55000000,35427.77000000,55192.80574500,1610409599999,1863543580.98938501,1408263,27110.76185500,914770139.53249862,0
1610409600000,35412.07000000,36650.00000000,32507.09000000,34029.14000000,29041.84873100,1610495999999,1007672459.16265984,976050,14349.68637100,498081962.81602793,0
1610496000000,34028.38000000,37800.00000000,32350.00000000,37383.06000000,28162.23462700,1610582399999,974465916.02076069,897954,14376.86541400,498067647.24826230,0
1610582400000,37374.52000000,40110.00000000,36700.00000000,39113.72000000,23519.92170200,1610668799999,908536023.43065265,776351,11546.57793600,446207686.35440288,0
1610668800000,39113.71000000,39692.96000000,34353.19000000,36734.62000000,28136.81532400,1610755199999,1038315494.28107037,844167,13730.56652800,506719869.44595963,0
1610755200000,36734.60000000,37950.00000000,35372.83000000,36003.52000000,19946.17585400,1610841599999,734569335.03888707,672134,9754.12223100,359318258.00136258,0
1610841600000,36003.52000000,36845.81000000,33840.00000000,35833.58000000,16364.17901300,1610927999999,579524373.74838588,613213,8231.42399700,291535502.81992329,0
1610928000000,35820.41000000,37455.23000000,34770.00000000,36632.24000000,15153.28093700,1611014399999,547435678.14851355,588739,7568.20657100,273365608.30850441,0
1611014400000,36634.06000000,37889.00000000,35866.84000000,35902.60000000,17543.27723300,1611100799999,647819442.17736300,629645,8719.18346300,322078669.95233073,0
1611100800000,35901.17000000,36415.05000000,33410.00000000,35489.56000000,23863.42247900,1611187199999,834660804.48405736,795397,11900.81782900,416071571.93941293,0
1611187200000,35489.56000000,35612.24000000,30048.06000000,30837.51000000,34634.26693800,1611273599999,1125021037.16930365,990498,16896.37710100,548895250.16216057,0
1611273600000,30837.51000000,33860.00000000,28800.19000000,32980.82000000,30817.55269200,1611359999999,969760763.31462211,1010586,15353.59111900,483450277.47560119,0
1611360000000,32980.82000000,33480.89000000,31422.01000000,32100.29000000,16540.82201500,1611446399999,535119845.52187532,598744,8088.89025800,261709513.08990115,0
1611446400000,32100.29000000,33102.00000000,30945.08000000,32290.80000000,15019.50228100,1611532799999,483790334.02435331,519609,7514.59037500,242133581.40888450,0
1611532800000,32290.81000000,34886.41000000,31917.12000000,32253.49000000,21644.82679000,1611619199999,723673863.08727187,720979,11332.49963300,378832552.55116761,0
1611619200000,32254.23000000,32933.79000000,30829.73000000,32495.00000000,22053.97000000,1611705599999,703319852.58522382,739650,10787.29766300,344150343.13499822,0
1611705600000,32494.54000000,32572.86000000,29253.52000000,30410.09000000,26997.67345100,1611791999999,832529297.01435654,817776,13294.05077000,409829688.20269012,0
1611792000000,30411.89000000,33840.00000000,29900.00000000,33443.50000000,20477.25335100,1611878399999,651181833.99954215,710803,10385.38673100,330331406.96643380,0
1611878400000,33447.34000000,38650.00000000,31972.44000000,34261.20000000,52280.93775900,1611964799999,1857684834.74597146,1403454,26496.36074700,942211326.71867583,0
1611964800000,34261.20000000,34948.88000000,32848.16000000,34299.60000000,19192.80067900,1612051199999,652306625.91375020,702318,9591.25594900,326105739.78733177,0
1612051200000,34300.41000000,34376.61000000,32193.77000000,33111.96000000,14021.54787400,1612137599999,467357271.92350113,561753,6743.83532500,224860239.44671654,0
1612137600000,33127.48000000,34719.17000000,32323.23000000,33528.41000000,17029.55139000,1612223999999,574224724.17715642,683992,8619.40842600,290709089.24243560,0
1612224000000,33524.75000000,36023.87000000,33425.92000000,35511.95000000,16950.85040200,1612310399999,590264617.47797288,721595,8609.82980700,299841312.08384840,0
1612310400000,35507.20000000,37710.00000000,35404.84000000,37675.81000000,17848.19607400,1612396799999,651942984.49659501,675698,9168.63514200,335131432.47172003,0
1612396800000,37667.42000000,38770.90000000,36183.67000000,36977.41000000,21330.93501900,1612483199999,800518198.78402200,800260,10639.53348500,399344167.97821668,0
1612483200000,36977.40000000,38370.00000000,36602.56000000,38331.68000000,15116.49644300,1612569599999,569434524.90562825,647605,7795.61266000,293734724.07557346,0
1612569600000,38331.69000000,40999.00000000,38254.05000000,39258.22000000,20982.58892100,1612655999999,834012273.25883576,758973,10813.29534800,429766583.45977124,0
1612656000000,39256.59000000,39742.17000000,37356.76000000,38870.21000000,20141.06732400,1612742399999,777808378.47380081,689508,9887.98404500,381906642.85992498,0
1612742400000,38866.71000000,46833.31000000,38020.40000000,46426.88000000,30325.19572500,1612828799999,1289652352.97657784,949699,15749.94956400,670676063.74505832,0
1612828800000,46425.25000000,48222.00000000,45000.00000000,46480.92000000,26910.41165800,1612915199999,1256270316.03375396,962902,13046.32509500,609154547.60544189,0
1612915200000,46480.92000000,47376.73000000,43733.80000000,44846.51000000,19260.41269200,1613001599999,878536544.57693879,872012,9558.21257900,435979855.55460411,0
1613001600000,44844.14000000,48714.07000000,44014.30000000,48003.02000000,19294.65034100,1613087999999,903518565.62705329,766030,10082.54908200,472275797.21116219,0
1613088000000,48004.02000000,49000.00000000,46243.50000000,47393.00000000,16911.26048900,1613174399999,804403619.26422354,728445,8315.00275700,395726631.17551236,0
1613174400000,47390.98000000,48202.00000000,46251.00000000,47205.88000000,12603.94240800,1613260799999,594800720.47751992,625488,6114.00035900,288533416.97661209,0
1613260800000,47205.87000000,49737.39000000,47081.81000000,48631.27000000,13151.68571400,1613347199999,639055601.67909798,586016,7096.02796400,344565647.35308412,0
1613347200000,48632.49000000,49048.38000000,45766.79000000,47915.01000000,17832.36768800,1613433599999,849661024.12099150,726868,8258.60422200,393722684.57349307,0
1613433600000,47915.00000000,50689.37000000,47050.00000000,49145.04000000,19111.15623000,1613519999999,935494607.73707523,719494,9632.35052800,471829889.08019000,0
1613520000000,49144.24000000,52648.89000000,48947.80000000,52139.34000000,16618.02604400,1613606399999,846164055.48805365,710767,8480.73287500,431576730.56808880,0
1613606400000,52132.44000000,52543.50000000,50874.79000000,51555.69000000,14236.40135700,1613692799999,737255528.40271159,588890,7098.76236500,367701105.40373422,0
1613692800000,51550.92000000,56386.80000000,50733.00000000,55922.05000000,17164.69565900,1613779199999,915583749.08270667,752869,9021.49602900,482568689.64319975,0
1613779200000,55916.46000000,57600.00000000,53946.06000000,55885.10000000,17954.10452700,1613865599999,1009768514.41156421,757944,8785.03194800,494284855.96572225,0
1613865600000,55885.10000000,58362.91000000,55516.17000000,57465.09000000,12896.58758700,1613951999999,736163039.54937692,592911,6647.10543400,379269849.59591454,0
1613952000000,57463.22000000,57547.57000000,47689.55000000,54107.06000000,31886.73251300,1614038399999,1717556575.60697272,1265506,15369.62764100,827298283.42247765,0
1614038400000,54105.03000000,54184.35000000,44900.00000000,48888.16000000,45041.15101100,1614124799999,2180199088.88564795,1509921,21783.24263000,1054700082.14019190,0
1614124800000,48888.17000000,51388.88000000,47000.00000000,49695.47000000,20862.66521800,1614211199999,1038464419.06969646,1012948,9947.13357600,494762487.23326701,0
1614211200000,49694.62000000,52050.00000000,46690.00000000,47079.75000000,19683.29484500,1614297599999,979858418.72901677,918375,9726.53611400,484805828.28923780,0
1614297600000,47079.75000000,48444.00000000,44116.43000000,46302.75000000,26609.17554800,1614383999999,1236286564.79037455,1116680,13247.26390100,615569232.89553839,0
