"Strategy","Factors","2023 YTD","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","Annualized Total*","TOTALFOLLOWERS"
"ADR Screen","V                                         G                                         M                                         S                                         EE                                         Y                                         Q                                         I                                         O","13.3","-24.1","-7.4","-1.9","3.5","-21.7","41.7","26.5","-7.0","27.3","33.2","1.4","-25.9","18.8","53.2","-58.7","6.1","109.0"
"Buffett: Hagstrom Screen","V                                         G                                         M                                         S                                         EE                                         Y                                         Q                                         I                                         O","19.6","-17.5","28.6","28.9","25.1","-15.1","14.6","13.6","0.3","9.6","35.4","13.0","8.2","27.7","30.0","-25.8","13.2","921.0"
"Buffettology: EPS Growth","V                                         G                                         M                                         S                                         EE                                         Y                                         Q                                         I                                         O","25.5","-19.9","17.6","38.0","33.8","-20.6","24.4","15.1","2.5","4.4","38.4","17.4","3.8","20.5","57.5","-36.9","11.2","667.0"
"Buffettology: Sustainable Growth Screen","V                                         G                                         M                                         S                                         EE                                         Y                                         Q                                         I                                         O","24.1","-13.6","19.2","56.6","40.8","-18.5","18.3","24.2","3.3","3.2","35.8","8.8","0.7","18.4","68.0","-28.9","12.8","952.0"
"Cash Rich Firms Screen","V                                         G                                         M                                         S                                         EE                                         Y                                         Q                                         I                                         O","14.2","-28.6","6.5","2.5","9.2","-8.3","12.3","17.1","-7.8","2.5","36.6","10.5","-32.8","14.4","56.9","-38.0","7.3","175.0"
"Dividend (High Relative Yield) Screen","V                                         G                                         M                                         S                                         EE                                         Y                                         Q                                         I                                         O","2.6","1.4","29.6","-6.1","25.2","-18.0","22.2","27.8","-10.3","2.0","40.6","9.8","3.0","19.4","16.4","-21.4","8.5","608.0"
"Dogs of the Dow Screen","V                                         G                                         M                                         S                                         EE                                         Y                                         Q                                         I                                         O","-0.2","-4.7","10.6","-8.4","14.5","-1.1","3.5","22.9","-1.4","6.8","27.9","9.6","10.7","19.4","8.1","-45.4","3.3","228.0"
"Dogs of the Dow: Low Priced 5 Screen","V                                         G                                         M                                         S                                         EE                                         Y                                         Q                                         I                                         O","1.0","-12.0","13.9","-16.0","11.6","4.5","-1.7","13.0","11.7","3.0","34.5","15.7","13.1","17.3","-7.7","-58.7","2.4","137.0"
"Dreman Screen","V                                         G                                         M                                         S                                         EE                                         Y                                         Q                                         I                                         O","4.4","-26.9","27.1","-19.1","21.3","-14.1","21.0","12.3","-5.4","7.7","27.6","20.6","-11.7","22.7","37.2","-34.9","7.3","115.0"
"Dreman With Est Revisions Screen","V                                         G                                         M                                         S                                         EE                                         Y                                         Q                                         I                                         O","16.3","4.4","12.2","21.5","46.6","-31.2","25.7","9.7","6.4","14.2","35.8","13.0","21.6","26.5","62.9","-37.1","14.6","378.0"
"Driehaus Revised Screen","V                                         G                                         M                                         S                                         EE                                         Y                                         Q                                         I                                         O","24.1","-12.6","50.9","-21.2","14.4","-12.5","16.3","35.8","-3.9","-6.1","85.3","5.5","0.7","79.2","62.4","-29.2","17.4","315.0"
"Driehaus Screen","V                                         G                                         M                                         S                                         EE                                         Y                                         Q                                         I                                         O","35.1","-35.5","-9.8","16.5","28.7","-12.6","15.4","24.1","17.2","-0.7","47.7","16.7","-14.1","65.7","106.0","-42.7","10.8","139.0"
