DATE,NFCI
1971-01-08,0.64741
1971-01-15,0.68542
1971-01-22,0.73055
1971-01-29,0.77959
1971-02-05,0.82936
1971-02-12,0.87572
1971-02-19,0.91604
1971-02-26,0.95049
1971-03-05,0.9819
1971-03-12,1.01396
1971-03-19,1.05131
1971-03-26,1.09957
1971-04-02,1.16181
1971-04-09,1.23916
1971-04-16,1.32813
1971-04-23,1.42103
1971-04-30,1.50714
1971-05-07,1.57345
1971-05-14,1.60525
1971-05-21,1.59339
1971-05-28,1.53548
1971-06-04,1.43573
1971-06-11,1.30362
1971-06-18,1.15974
1971-06-25,1.02652
1971-07-02,0.92752
1971-07-09,0.88549
1971-07-16,0.91683
1971-07-23,1.02809
1971-07-30,1.21376
1971-08-06,1.45442
1971-08-13,1.72069
1971-08-20,1.98012
1971-08-27,2.1977
1971-09-03,2.35141
1971-09-10,2.42513
1971-09-17,2.41966
1971-09-24,2.34216
1971-10-01,2.21042
1971-10-08,2.04461
1971-10-15,1.86908
1971-10-22,1.70539
1971-10-29,1.57073
1971-11-05,1.47553
1971-11-12,1.42175
1971-11-19,1.40545
1971-11-26,1.41521
1971-12-03,1.43856
1971-12-10,1.4618
1971-12-17,1.47145
1971-12-24,1.45701
1971-12-31,1.41561
1972-01-07,1.33942
1972-01-14,1.24079
1972-01-21,1.12452
1972-01-28,1.00196
1972-02-04,0.88391
1972-02-11,0.77729
1972-02-18,0.68601
1972-02-25,0.61199
1972-03-03,0.55493
1972-03-10,0.51288
1972-03-17,0.48182
1972-03-24,0.45662
1972-03-31,0.43076
1972-04-07,0.39843
1972-04-14,0.35795
1972-04-21,0.3073
1972-04-28,0.25085
1972-05-05,0.19309
1972-05-12,0.14058
1972-05-19,0.0997
1972-05-26,0.07687
1972-06-02,0.07552
1972-06-09,0.09717
1972-06-16,0.13916
1972-06-23,0.19569
1972-06-30,0.25773
1972-07-07,0.31496
1972-07-14,0.3585
1972-07-21,0.3807
1972-07-28,0.3769
1972-08-04,0.34616
1972-08-11,0.29084
1972-08-18,0.21686
1972-08-25,0.13196
1972-09-01,0.04591
1972-09-08,-0.03103
1972-09-15,-0.09201
1972-09-22,-0.13352
1972-09-29,-0.1559
1972-10-06,-0.16355
1972-10-13,-0.16323
1972-10-20,-0.16112
1972-10-27,-0.1628
1972-11-03,-0.17187
1972-11-10,-0.18953
1972-11-17,-0.21565
1972-11-24,-0.24837
1972-12-01,-0.28279
1972-12-08,-0.31327
1972-12-15,-0.33325
1972-12-22,-0.33433
1972-12-29,-0.30918
1973-01-05,-0.25258
1973-01-12,-0.161
1973-01-19,-0.035
1973-01-26,0.12152
1973-02-02,0.30082
1973-02-09,0.49093
1973-02-16,0.67759
1973-02-23,0.84788
1973-03-02,0.98986
1973-03-09,1.0969
1973-03-16,1.16659
1973-03-23,1.2034
1973-03-30,1.2135
1973-04-06,1.20349
1973-04-13,1.18172
1973-04-20,1.15333
1973-04-27,1.12256
1973-05-04,1.0909
1973-05-11,1.0604
1973-05-18,1.03175
1973-05-25,1.0071
1973-06-01,0.98985
1973-06-08,0.98455
1973-06-15,0.99576
1973-06-22,1.02779
1973-06-29,1.08369
1973-07-06,1.16288
1973-07-13,1.26412
1973-07-20,1.38155
1973-07-27,1.51039
1973-08-03,1.64301
1973-08-10,1.77325
1973-08-17,1.89464
1973-08-24,2.00277
1973-08-31,2.09222
1973-09-07,2.15846
1973-09-14,2.19882
1973-09-21,2.2122
1973-09-28,2.1988
1973-10-05,2.15952
1973-10-12,2.10257
1973-10-19,2.03547
1973-10-26,1.97146
1973-11-02,1.92084
1973-11-09,1.89198
1973-11-16,1.88665
1973-11-23,1.89734
1973-11-30,1.90943
1973-12-07,1.90453
1973-12-14,1.86694
1973-12-21,1.78577
1973-12-28,1.65879
1974-01-04,1.48962
1974-01-11,1.29276
1974-01-18,1.08134
1974-01-25,0.86992
1974-02-01,0.67257
1974-02-08,0.50125
1974-02-15,0.36661
1974-02-22,0.27792
1974-03-01,0.24113
1974-03-08,0.26034
1974-03-15,0.33564
1974-03-22,0.46362
1974-03-29,0.63923
1974-04-05,0.85739
1974-04-12,1.11463
1974-04-19,1.40543
1974-04-26,1.72527
1974-05-03,2.0673
1974-05-10,2.42538
1974-05-17,2.79253
1974-05-24,3.16067
1974-05-31,3.52538
1974-06-07,3.88009
1974-06-14,4.21389
1974-06-21,4.51462
1974-06-28,4.76626
1974-07-05,4.95341
1974-07-12,5.06702
1974-07-19,5.10558
1974-07-26,5.07754
1974-08-02,4.99776
1974-08-09,4.88065
1974-08-16,4.74573
1974-08-23,4.60457
1974-08-30,4.46759
1974-09-06,4.33649
1974-09-13,4.20871
1974-09-20,4.07841
1974-09-27,3.93388
1974-10-04,3.76934
1974-10-11,3.58263
1974-10-18,3.38386
1974-10-25,3.18663
1974-11-01,3.00563
1974-11-08,2.85397
1974-11-15,2.73719
1974-11-22,2.65106
1974-11-29,2.58889
1974-12-06,2.53753
1974-12-13,2.48384
1974-12-20,2.4173
1974-12-27,2.32655
1975-01-03,2.20719
1975-01-10,2.05796
1975-01-17,1.88529
1975-01-24,1.69863
1975-01-31,1.50913
1975-02-07,1.32641
1975-02-14,1.15894
1975-02-21,1.00851
1975-02-28,0.87538
1975-03-07,0.75815
1975-03-14,0.65469
1975-03-21,0.56238
1975-03-28,0.47763
1975-04-04,0.39666
1975-04-11,0.31628
1975-04-18,0.23414
1975-04-25,0.14878
1975-05-02,0.06225
1975-05-09,-0.02328
1975-05-16,-0.10419
1975-05-23,-0.17865
1975-05-30,-0.24276
1975-06-06,-0.29544
1975-06-13,-0.33644
1975-06-20,-0.36692
1975-06-27,-0.3883
1975-07-04,-0.40271
1975-07-11,-0.41223
1975-07-18,-0.41833
1975-07-25,-0.42007
1975-08-01,-0.41645
1975-08-08,-0.4057
1975-08-15,-0.38685
1975-08-22,-0.35884
1975-08-29,-0.32147
1975-09-05,-0.27647
1975-09-12,-0.2257
1975-09-19,-0.17205
1975-09-26,-0.11959
1975-10-03,-0.07102
1975-10-10,-0.03039
1975-10-17,0.00089
1975-10-24,0.02246
1975-10-31,0.03372
1975-11-07,0.03332
1975-11-14,0.02071
1975-11-21,-0.00491
1975-11-28,-0.04465
1975-12-05,-0.09837
1975-12-12,-0.16434
1975-12-19,-0.23946
1975-12-26,-0.32046
1976-01-02,-0.40334
1976-01-09,-0.48379
1976-01-16,-0.55745
1976-01-23,-0.62175
1976-01-30,-0.67531
1976-02-06,-0.7176
1976-02-13,-0.74882
1976-02-20,-0.77169
1976-02-27,-0.788
1976-03-05,-0.7995
1976-03-12,-0.80675
1976-03-19,-0.81019
1976-03-26,-0.80897
1976-04-02,-0.80189
1976-04-09,-0.78763
1976-04-16,-0.76536
1976-04-23,-0.73586
1976-04-30,-0.70004
1976-05-07,-0.6604
1976-05-14,-0.6207
1976-05-21,-0.5854
1976-05-28,-0.55828
1976-06-04,-0.54298
1976-06-11,-0.54143
1976-06-18,-0.55324
1976-06-25,-0.57702
1976-07-02,-0.60914
1976-07-09,-0.64595
1976-07-16,-0.68369
1976-07-23,-0.71961
1976-07-30,-0.75115
1976-08-06,-0.77751
1976-08-13,-0.79861
1976-08-20,-0.81475
1976-08-27,-0.82648
1976-09-03,-0.83482
1976-09-10,-0.84058
1976-09-17,-0.84419
1976-09-24,-0.84615
1976-10-01,-0.84587
1976-10-08,-0.84372
1976-10-15,-0.83894
1976-10-22,-0.83089
1976-10-29,-0.81915
1976-11-05,-0.80448
1976-11-12,-0.78726
1976-11-19,-0.76901
1976-11-26,-0.75263
1976-12-03,-0.74031
1976-12-10,-0.73535
1976-12-17,-0.73868
1976-12-24,-0.75142
1976-12-31,-0.77247
1977-01-07,-0.80017
1977-01-14,-0.83043
1977-01-21,-0.8607
1977-01-28,-0.88806
1977-02-04,-0.90996
1977-02-11,-0.92466
1977-02-18,-0.93144
1977-02-25,-0.92999
1977-03-04,-0.92029
1977-03-11,-0.90373
1977-03-18,-0.88144
1977-03-25,-0.85512
1977-04-01,-0.82568
1977-04-08,-0.79413
1977-04-15,-0.76007
1977-04-22,-0.72426
1977-04-29,-0.68696
1977-05-06,-0.65006
1977-05-13,-0.61546
1977-05-20,-0.58603
1977-05-27,-0.56299
1977-06-03,-0.54757
1977-06-10,-0.5399
1977-06-17,-0.53831
1977-06-24,-0.54164
1977-07-01,-0.54786
1977-07-08,-0.5547
1977-07-15,-0.55933
1977-07-22,-0.55962
1977-07-29,-0.55396
1977-08-05,-0.54213
1977-08-12,-0.52501
1977-08-19,-0.50393
1977-08-26,-0.48041
1977-09-02,-0.4552
1977-09-09,-0.42841
1977-09-16,-0.39949
1977-09-23,-0.36911
1977-09-30,-0.33723
1977-10-07,-0.30552
1977-10-14,-0.27504
1977-10-21,-0.24693
1977-10-28,-0.22223
1977-11-04,-0.20117
1977-11-11,-0.18427
1977-11-18,-0.17178
1977-11-25,-0.16426
1977-12-02,-0.16187
1977-12-09,-0.16512
1977-12-16,-0.17355
1977-12-23,-0.18648
1977-12-30,-0.202
1978-01-06,-0.21874
1978-01-13,-0.23421
1978-01-20,-0.24649
1978-01-27,-0.25431
1978-02-03,-0.25615
1978-02-10,-0.25133
1978-02-17,-0.23866
1978-02-24,-0.21772
1978-03-03,-0.18874
1978-03-10,-0.15212
1978-03-17,-0.10868
1978-03-24,-0.05916
1978-03-31,-0.00459
1978-04-07,0.05459
1978-04-14,0.11768
1978-04-21,0.18291
1978-04-28,0.2484
1978-05-05,0.31186
1978-05-12,0.37108
1978-05-19,0.42461
1978-05-26,0.47148
1978-06-02,0.51132
1978-06-09,0.54341
1978-06-16,0.5676
1978-06-23,0.58279
1978-06-30,0.5891
1978-07-07,0.58676
1978-07-14,0.57612
1978-07-21,0.55842
1978-07-28,0.53533
1978-08-04,0.50864
1978-08-11,0.48215
1978-08-18,0.46253
1978-08-25,0.45693
1978-09-01,0.4728
1978-09-08,0.51776
1978-09-15,0.59621
1978-09-22,0.70899
1978-09-29,0.85462
1978-10-06,1.02576
1978-10-13,1.21429
1978-10-20,1.40806
1978-10-27,1.59437
1978-11-03,1.75817
1978-11-10,1.89022
1978-11-17,1.98276
1978-11-24,2.0296
1978-12-01,2.03469
1978-12-08,2.00104
1978-12-15,1.93359
1978-12-22,1.8388
1978-12-29,1.72171
1979-01-05,1.58752
1979-01-12,1.44228
1979-01-19,1.29169
1979-01-26,1.14176
1979-02-02,0.99739
1979-02-09,0.86242
1979-02-16,0.73808
1979-02-23,0.62546
1979-03-02,0.5265
1979-03-09,0.4413
1979-03-16,0.37199
1979-03-23,0.31971
1979-03-30,0.28513
1979-04-06,0.2675
1979-04-13,0.26478
1979-04-20,0.27465
1979-04-27,0.29457
1979-05-04,0.32305
1979-05-11,0.35937
1979-05-18,0.40412
1979-05-25,0.45765
1979-06-01,0.51956
1979-06-08,0.58762
1979-06-15,0.65978
1979-06-22,0.73338
1979-06-29,0.80746
1979-07-06,0.88115
1979-07-13,0.95585
1979-07-20,1.03363
1979-07-27,1.11502
1979-08-03,1.20116
1979-08-10,1.2927
1979-08-17,1.39131
1979-08-24,1.49743
1979-08-31,1.61139
1979-09-07,1.73178
1979-09-14,1.85653
1979-09-21,1.9817
1979-09-28,2.10234
1979-10-05,2.21448
1979-10-12,2.31457
1979-10-19,2.39738
1979-10-26,2.45781
1979-11-02,2.49185
1979-11-09,2.49298
1979-11-16,2.46112
1979-11-23,2.39854
1979-11-30,2.31253
1979-12-07,2.2117
1979-12-14,2.10523
1979-12-21,2.00272
1979-12-28,1.90786
1980-01-04,1.82658
1980-01-11,1.76667
1980-01-18,1.73454
1980-01-25,1.74161
1980-02-01,1.79868
1980-02-08,1.91154
1980-02-15,2.08342
1980-02-22,2.31068
1980-02-29,2.58191
1980-03-07,2.87814
1980-03-14,3.18199
1980-03-21,3.46743
